wins,losses,draws,height_cm,weight_kg,reach_in_cm,sig_strikes_landed_min,sig_strike_acc,sig_strikes_absorbed_min,sig_strike_def,avg_takedowns_landed_15_min,takedown_acc,takedown_def,avg_sub_attempt_15_min
10,5,1,187.96,77.11,198.12,6.06,48,9.47,44,0.0,0,33,6.06
12,7,0,190.5,92.99,193.04,6.05,50,4.64,55,0.0,0,100,6.05
11,1,0,170.18,56.7,165.1,6.05,39,3.31,69,1.36,46,91,6.05
16,12,0,193.04,113.4,198.12,6.04,45,6.65,52,0.09,50,74,6.04
14,0,0,175.26,83.91,187.96,6.03,64,4.36,62,5.77,60,100,6.03
7,0,0,193.04,120.2,200.66,6.02,60,3.07,67,1.77,100,33,6.02
9,2,0,187.96,77.11,190.5,6.02,50,8.1,33,3.11,100,0,6.02
3,1,0,170.18,65.77,185.42,6.01,39,2.72,73,6.44,60,0,6.01
12,4,1,167.64,56.7,172.72,6.01,57,5.01,53,0.0,0,74,6.01
8,7,0,180.34,70.31,180.34,6.0,37,5.52,59,0.0,0,46,6.0
12,2,0,180.34,92.99,182.88,5.99,52,5.38,50,0.92,33,100,5.99
14,5,0,190.5,83.91,190.5,5.99,55,5.67,51,2.4,50,100,5.99
9,2,0,190.5,83.91,180.34,5.97,52,3.03,56,0.23,33,36,5.97
16,6,0,185.42,83.91,187.96,5.95,47,5.22,53,0.24,25,67,5.95
24,3,0,162.56,52.16,160.02,5.94,51,3.44,53,2.29,42,66,5.94
8,3,0,167.64,61.23,182.88,5.93,42,6.33,48,4.0,57,0,5.93
7,3,0,185.42,70.31,185.42,5.93,56,9.42,53,0.0,0,0,5.93
9,3,0,190.5,117.93,198.12,5.93,37,2.87,56,0.72,25,90,5.93
5,1,0,170.18,65.77,165.1,5.93,48,8.4,40,2.0,40,0,5.93
16,7,0,160.02,52.16,162.56,5.92,43,5.55,59,0.36,26,74,5.92
6,2,0,187.96,104.33,203.2,5.92,68,7.8,40,0.0,0,0,5.92
20,6,0,167.64,65.77,175.26,5.91,50,4.22,56,1.74,48,70,5.91
4,1,0,185.42,65.77,187.96,5.87,50,9.8,24,1.0,100,50,5.87
6,2,0,175.26,70.31,182.88,5.87,46,7.6,48,0.0,0,33,5.87
8,0,0,180.34,70.31,177.8,5.87,52,4.0,65,2.0,22,100,5.87
9,3,0,162.56,52.16,162.56,5.83,31,9.25,44,0.0,0,0,5.83
10,2,0,182.88,70.31,182.88,5.83,52,6.2,56,3.04,53,69,5.83
9,6,0,185.42,83.91,190.5,5.83,50,5.46,35,1.11,50,85,5.83
7,3,1,180.34,70.31,175.26,5.82,58,4.07,56,0.0,0,36,5.82
28,5,0,185.42,83.91,193.04,5.82,41,4.24,63,0.92,64,84,5.82
13,7,0,190.5,70.31,195.58,5.82,48,4.61,41,0.91,55,75,5.82
10,14,0,190.5,101.6,182.88,5.8,56,2.9,59,0.0,0,0,5.8
13,10,0,190.5,104.33,198.12,5.8,44,5.08,50,0.71,33,67,5.8
5,1,1,167.64,52.16,165.1,5.8,57,2.33,61,1.0,100,83,5.8
11,5,0,180.34,77.11,187.96,5.8,63,4.75,42,0.0,0,100,5.8
11,2,0,170.18,65.77,175.26,5.8,48,4.73,55,1.0,33,100,5.8
10,1,0,177.8,83.91,182.88,5.79,53,5.22,47,0.0,0,50,5.79
8,1,0,177.8,70.31,175.26,5.78,60,1.93,63,0.0,0,100,5.78
14,3,0,182.88,77.11,195.58,5.77,39,5.33,42,0.0,0,80,5.77
11,6,0,177.8,70.31,177.8,5.75,45,7.28,42,0.98,30,67,5.75
13,7,0,187.96,77.11,182.88,5.74,34,1.91,67,0.0,0,0,5.74
12,3,0,165.1,56.7,160.02,5.73,52,5.0,69,0.0,0,100,5.73
15,5,0,177.8,70.31,182.88,5.73,44,5.26,64,0.32,20,78,5.73
13,2,0,172.72,70.31,180.34,5.73,51,4.96,48,0.0,0,100,5.73
13,0,0,187.96,83.91,190.5,5.72,58,3.46,42,3.99,46,100,5.72
13,3,0,175.26,65.77,180.34,5.72,49,4.33,54,0.28,20,62,5.72
39,9,0,177.8,65.77,177.8,5.71,42,4.05,61,0.84,50,83,5.71
26,10,0,185.42,77.11,193.04,5.71,42,3.84,59,1.28,32,60,5.71
20,7,0,172.72,61.23,180.34,5.71,45,3.7,57,0.96,37,46,5.71
15,6,1,175.26,65.77,175.26,5.71,49,4.21,58,0.1,16,47,5.71
8,1,0,193.04,92.99,190.5,5.7,67,4.89,28,0.0,0,100,5.7
13,6,0,162.56,56.7,157.48,5.68,49,4.9,63,1.65,35,43,5.68
18,6,0,175.26,102.06,182.88,5.68,46,6.32,47,0.0,0,0,5.68
5,1,0,170.18,65.77,177.8,5.67,55,3.4,71,0.0,0,100,5.67
17,7,0,182.88,77.11,185.42,5.67,50,3.77,60,0.51,44,58,5.67
14,0,0,175.26,61.23,175.26,5.65,61,2.5,63,2.09,50,85,5.65
7,2,0,162.56,56.7,170.18,5.64,58,6.5,47,3.15,47,50,5.64
13,1,0,193.04,120.2,195.58,5.62,52,5.4,55,0.3,50,100,5.62
10,0,0,167.64,52.16,167.64,5.61,67,0.45,80,5.34,100,0,5.61
11,2,0,177.8,70.31,187.96,5.61,44,4.94,46,3.16,45,80,5.61
8,5,0,190.5,92.99,187.96,5.61,59,5.44,45,1.67,28,0,5.61
5,0,0,190.5,83.91,182.88,5.6,55,3.4,52,0.0,0,100,5.6
5,3,0,165.1,61.23,165.1,5.6,41,4.43,64,2.25,54,69,5.6
10,1,0,175.26,70.31,180.34,5.6,69,4.03,48,1.0,40,77,5.6
24,5,0,175.26,70.31,182.88,5.6,50,6.36,45,2.56,62,87,5.6
28,4,1,185.42,92.99,182.88,5.59,61,2.06,79,0.0,0,0,5.59
6,20,0,180.34,102.06,182.88,5.58,40,0.0,0,20.93,100,100,5.58
12,1,0,162.56,56.7,167.64,5.58,52,3.32,62,2.86,36,83,5.58
6,4,0,182.88,83.91,195.58,5.57,52,4.11,54,0.76,57,64,5.57
9,3,0,182.88,70.31,182.88,5.57,51,7.94,48,1.65,18,66,5.57
