name,nickname,wins,losses,draws,height_cm,weight_kg,reach_in_cm,stance,date_of_birth,sig_strikes_landed_min,sig_strike_acc,sig_strikes_absorbed_min,sig_strike_def,avg_takedowns_landed_15_min,takedown_acc,takedown_def,avg_sub_attempt_15_min
Rafael  Del Real,,6,20,0,180.34,102.06,,,,5.58,40,0,0,20.93,100,100,5.58
Erin Blanchfield,Cold Blooded,12,1,0,162.56,56.7,167.64,Orthodox,04/05/1999,5.58,52,3.32,62,2.86,36,83,5.58
Tafon Nchukwi,Da Don,6,4,0,182.88,83.91,195.58,Orthodox,14/10/1994,5.57,52,4.11,54,0.76,57,64,5.57
Sangwook Kim,Frogman,9,3,0,182.88,70.31,182.88,Orthodox,17/10/1993,5.57,51,7.94,48,1.65,18,66,5.57
Tuco Tokkos,,7,3,0,193.04,92.99,190.5,Orthodox,30/06/1990,5.57,40,8.86,43,3.8,100,0,5.57
Isaac Vallie-Flagg,,16,7,1,172.72,70.31,177.8,Orthodox,08/04/1978,5.56,47,5.6,45,0.2,12,58,5.56
Zachary Micklewright,,15,3,0,182.88,70.31,187.96,Southpaw,21/08/1976,5.56,53,4.72,54,0.7,12,100,5.56
Yan Xiaonan,,17,3,0,165.1,52.16,160.02,Orthodox,16/06/1989,5.55,44,3.56,61,0.86,66,70,5.55
Tony Kelley,Primetime,8,3,0,175.26,61.23,177.8,Switch,21/01/1987,5.55,47,4.85,45,0,0,52,5.55
Phil Hawes,No Hype,12,5,0,182.88,83.91,195.58,Orthodox,08/01/1989,5.55,59,3.7,55,2.28,36,100,5.55
Dusko Todorovic,Thunder,12,4,0,185.42,83.91,187.96,Orthodox,19/05/1994,5.54,57,4.55,46,0.96,12,45,5.54
Maiara Amanajas dos Santos,,7,3,0,165.1,52.16,,Southpaw,11/07/1987,5.53,35,24.47,33,0,0,100,5.53
Bryan Barberena,Bam Bam,18,11,0,182.88,77.11,182.88,Southpaw,03/05/1989,5.53,48,4.74,44,0.14,22,49,5.53
Benoit Saint Denis,God of War,13,1,0,180.34,70.31,185.42,Southpaw,18/12/1995,5.53,52,5.2,44,4.55,36,66,5.53
John Makdessi,The Bull,18,9,0,172.72,70.31,172.72,Orthodox,03/05/1985,5.52,49,4.15,68,0,0,86,5.52
Fernando Padilla,El Valiente,15,5,0,185.42,65.77,193.04,Orthodox,15/12/1996,5.51,38,5.81,53,0,0,100,5.51
Carlos Hernandez,,9,2,0,172.72,56.7,170.18,Orthodox,25/10/1993,5.51,46,4.41,49,1.24,16,65,5.51
Mike Seal,Crazy Boy,13,15,1,193.04,83.91,,Orthodox,,5.5,68,3.33,50,0,0,33,5.5
Mitchell Sipe,No Dice,4,1,0,187.96,111.13,,Orthodox,09/04/1996,5.5,56,9.98,46,1.53,20,0,5.5
Ciryl Gane,Bon Gamin,12,2,0,193.04,111.13,205.74,Orthodox,12/04/1990,5.49,60,2.19,63,0.58,21,50,5.49
